Part,Sarga,Word,Word Start,Word End
pm01-10,कश्चित्,0.000,1.015
pm01-10,कान्ताविरहगुरुणा,1.015,2.375
pm01-10,स्वाधिकारात्,2.375,5.005
pm01-10,प्रमत्तः,5.005,9.540
pm01-10,शापेनास्तंगमितमहिमा,9.540,13.240
pm01-10,वर्षभोग्येण,13.240,14.830
pm01-10,भर्तुः,14.830,19.180
pm01-10,यक्षश्चक्रे,19.180,21.250
pm01-10,जनकतनयास्नानपुण्योदकेषु,21.250,27.980
pm01-10,स्निग्धच्छायातरुषु,27.980,30.725
pm01-10,वसतिं,30.725,31.760
pm01-10,रामगिर्याश्रमेषु,31.760,38.400
pm01-10,तस्मिन्नद्रौ,38.400,41.345
pm01-10,कतिचिदबलाविप्रयुक्तः,41.345,44.655
pm01-10,स,44.655,44.805
pm01-10,कामी,44.805,46.760
pm01-10,नीत्वा,46.760,47.945
pm01-10,मासान्,47.945,50.015
pm01-10,कनकवलयभ्रंशरिक्तप्रकोष्ठः,50.015,55.880
pm01-10,आषाढस्य,55.880,58.010
pm01-10,प्रथमदिवसे,58.010,59.375
pm01-10,मेघमाश्लिष्टसानुं,59.375,64.520
pm01-10,वप्रक्रीडापरिणतगजप्रेक्षणीयं,64.520,70.535
pm01-10,ददर्श,70.535,72.360
pm01-10,तस्य,72.360,73.550
pm01-10,स्थित्वा,73.550,74.890
pm01-10,कथमपि,74.890,75.700
pm01-10,पुरः,75.700,77.230
pm01-10,कौतुकाधानहेतोः,77.230,81.880
pm01-10,अन्तर्बाष्पश्चिरमनुचरो,81.880,85.200
pm01-10,राजराजस्य,85.200,87.845
pm01-10,दध्यौ,87.845,90.040
pm01-10,मेघालोके,90.040,92.270
pm01-10,भवति,92.270,92.860
pm01-10,सुखिनोप्यन्यथावृत्ति,92.860,96.935
pm01-10,चेतः,96.935,98.120
pm01-10,कण्ठाश्लेषप्रणयिनि,98.120,101.790
pm01-10,जने,101.790,102.160
pm01-10,किं,102.160,103.330
pm01-10,पुनर्दूरसंस्थे,103.330,107.320
pm01-10,प्रत्यासन्ने,107.320,110.910
pm01-10,नभसि,110.910,111.585
pm01-10,दयिताजीवितालम्बनार्थी,111.585,118.420
pm01-10,जीमूतेन,118.420,120.150
pm01-10,स्वकुशलमयीं,120.150,122.690
pm01-10,हारयिष्यन्,122.690,125.020
pm01-10,प्रवृत्तिम्,125.020,128.060
pm01-10,स,128.060,128.670
pm01-10,प्रत्यग्रैः,128.670,131.410
pm01-10,कुटजकुसुमैः,131.410,135.390
pm01-10,कल्पितार्घाय,135.390,139.490
pm01-10,तस्मै,139.490,141.260
pm01-10,प्रीतः,141.260,141.780
pm01-10,प्रीतिप्रमुखवचनं,141.780,147.440
pm01-10,स्वागतं,147.440,148.665
pm01-10,व्याजहार,148.665,150.380
pm01-10,धूमज्योतिःसलिलमरुतां,150.380,152.675
pm01-10,संनिपातः,152.675,153.420
pm01-10,क्व,153.420,153.760
pm01-10,मेघः,153.760,155.400
pm01-10,सन्देशार्थाः,155.400,158.520
pm01-10,क्व,158.520,158.940
pm01-10,पटुकरणैः,158.940,160.060
pm01-10,प्राणिभिः,160.060,161.805
pm01-10,प्रापणीयाः,161.805,166.080
