Sarga,Word,Word Start,Word End
श्रीपातञ्जलयोगदर्शनम्,0.000,7.740
अथ,7.740,7.900
समाधिपादः,7.900,11.880
अथ,11.880,12.065
योगानुशासनम्,12.065,17.220
योगश्चित्तवृत्तिनिरोधः,17.220,23.200
तदा,23.200,23.975
द्रष्टुः,23.975,25.050
स्वरूपेऽवस्थानम्,25.050,28.340
वृत्तिसारूप्यमितरत्र,28.340,32.320
वृत्तयः,32.320,33.645
पञ्चतय्यः,33.645,38.740
क्लिष्टाऽक्लिष्टाः,38.740,41.980
प्रमाणविपर्ययविकल्पनिद्रास्मृतयः,41.980,50.300
प्रत्यक्षानुमानागमाः,50.300,54.455
प्रमाणानि,54.455,58.180
विपर्ययो,58.180,59.060
मिथ्याज्ञानमतद्रूपप्रतिष्ठम्,59.060,65.560
शब्दज्ञानानुपाती,65.560,70.435
वस्तुशून्यो,70.435,72.450
विकल्पः,72.450,73.680
अभावप्रत्ययालम्बना,73.680,83.045
वृत्तिर्निद्रा,83.045,83.940
अनुभूतविषयासम्प्रमोषः,83.940,88.035
स्मृतिः,88.035,91.360
अभ्यासवैराग्याभ्यां,91.360,95.040
तन्निरोधः,95.040,98.040
तत्र,98.040,98.275
स्थितौ,98.275,99.185
यत्नोऽभ्यासः,99.185,102.820
स,102.820,102.915
तु,102.915,103.075
दीर्घकालनैरन्तर्यसत्कारासेवितो,103.075,111.840
दृढभूमिः,111.840,116.180
दृष्टानुश्रविकविषयवितृष्णस्य,116.180,120.910
वशीकारसंज्ञा,120.910,124.020
वैराग्यम्,124.020,126.040
तत्परं,126.040,128.340
पुरुषख्यातेर्गुणवैतृष्ण्यम्,128.340,133.040
वितर्कविचारानन्दास्मितारूपानुगमात्,133.040,141.570
सम्प्रज्ञातः,141.570,143.540
विरामप्रत्ययाभ्यासपूर्वः,143.540,150.690
संस्कारशेषोऽन्यः,150.690,156.900
भवप्रत्ययो,156.900,159.010
विदेहप्रकृतिलयानाम्,159.010,162.940
श्रद्धावीर्यस्मृतिसमाधिप्रज्ञापूर्वक,162.940,172.745
इतरेषाम्,172.745,174.680
तीव्रसंवेगानामासन्नः,174.680,182.020
मृदुमध्याधिमात्रत्वात्,182.020,186.145
ततोऽपि,186.145,186.500
विशेषः,186.500,189.740
ईश्वरप्रणिधानाद्वा,189.740,195.140
क्लेशकर्मविपाकाशयैरपरामृष्टः,195.140,201.950
पुरुषविशेष,201.950,204.370
ईश्वरः,204.370,207.000
तत्र,207.000,207.265
निरतिशयं,207.265,210.245
सर्वज्ञबीजम्,210.245,213.080
स,213.080,214.505
पूर्वेषामपि,214.505,217.970
गुरुः,217.970,218.790
कालेनानवच्छेदात्,218.790,224.440
तस्य,224.440,225.205
वाचकः,225.205,226.560
प्रणवः,226.560,229.560
तज्जपस्तदर्थभावनम्,229.560,231.680
ततः,231.680,232.390
प्रत्यक्चेतनाधिगमोऽप्यन्तरायाभावश्च,232.390,244.100
व्याधिस्त्यानसंशयप्रमादालस्याविरतिभ्रान्तिदर्शनालब्धभूमिकत्वानवस्थितत्वानि,244.100,258.030
चित्तविक्षेपास्तेऽन्तरायाः,258.030,264.640
दुःखदौर्मनस्याङ्गमेजयत्वश्वासप्रश्वासा,264.640,272.475
विक्षेपसहभुवः,272.475,274.220
तत्प्रतिषेधार्थमेकतत्त्वाभ्यासः,274.220,283.280
मैत्रीकरुणामुदितोपेक्षाणां,283.280,288.135
सुखदुःखपुण्यापुण्यविषयाणां,288.135,293.325
भावनातश्चित्तप्रसादनम्,293.325,298.760
प्रच्छर्दनविधारणाभ्यां,298.760,304.325
वा,304.325,305.865
प्राणस्य,305.865,307.580
विषयवती,307.580,309.035
वा,309.035,309.225
प्रवृत्तिरुत्पन्ना,309.225,312.245
मनसः,312.245,313.250
स्थितिनिबन्धिनी,313.250,316.560
विशोका,316.560,318.435
वा,318.435,318.630
ज्योतिष्मती,318.630,321.340
वीतरागविषयं,321.340,323.820
वा,323.820,324.410
चित्तम्,324.410,325.540
स्वप्ननिद्राज्ञानालम्बनं,325.540,330.650
वा,330.650,332.140
यथाभिमतध्यानाद्वा,332.140,336.740
परमाणु,336.740,338.035
परममहत्त्वान्तोऽस्य,338.035,341.415
वशीकारः,341.415,343.560
क्षीणवृत्तेरभिजातस्येव,343.560,348.340
मणेर्ग्रहीतृग्रहणग्राह्येषु,348.340,353.920
तत्स्थतदञ्जनता,353.920,356.265
समापत्तिः,356.265,359.400
तत्र,359.400,359.685
शब्दार्थज्ञानविकल्पैः,359.685,363.695
सङ्कीर्णा,363.695,365.475
सवितर्का,365.475,366.915
समापत्तिः,366.915,369.340
स्मृतिपरिशुद्धौ,369.340,372.185
स्वरूपशून्येवार्थमात्रनिर्भासा,372.185,378.110
निर्वितर्का,378.110,380.580
एतयैव,380.580,382.005
सविचारा,382.005,383.610
निर्विचारा,383.610,385.385
च,385.385,385.585
सूक्ष्मविषया,385.585,387.750
व्याख्याता,387.750,390.020
सूक्ष्मविषयत्वं,390.020,393.245
चालिङ्गपर्यवसानम्,393.245,397.040
ता,397.040,397.850
एव,397.850,398.675
सबीजः,398.675,399.775
समाधिः,399.775,402.300
निर्विचारवैशारद्येऽध्यात्मप्रसादः,402.300,410.000
ऋतम्भरा,410.000,411.520
तत्र,411.520,411.855
प्रज्ञा,411.855,414.200
श्रुतानुमानप्रज्ञाभ्यामन्यविषया,414.200,420.405
विशेषार्थत्वात्,420.405,423.860
तज्जः,423.860,424.615
संस्कारोऽन्यसंस्कारप्रतिबन्धी,424.615,430.800
तस्यापि,430.800,432.285
निरोधे,432.285,433.925
सर्वनिरोधान्निर्बीजः,433.925,437.505
समाधिः,437.505,440.160
इति,440.160,440.525
श्रीपातञ्जलयोगदर्शने,440.525,445.600
समाधिपादो,445.600,449.050
नाम,449.050,450.555
प्रथमः,450.555,452.180
पादः,452.180,456.800
अथ,0.000,1.420
साधनपादः,1.420,5.740
तपःस्वाध्यायेश्वरप्रणिधानानि,5.740,10.860
क्रियायोगः,10.860,15.000
समाधिभावनार्थः,15.000,18.085
क्लेशतनूकरणार्थश्च,18.085,24.220
अविद्यास्मितारागद्वेषाभिनिवेशाः,24.220,30.350
क्लेशाः,30.350,33.440
अविद्या,33.440,34.575
क्षेत्रमुत्तरेषां,34.575,37.350
प्रसुप्ततनुविच्छिन्नोदाराणाम्,37.350,40.860
अनित्याशुचिदुःखानात्मसु,40.860,48.485
नित्यशुचिसुखात्मख्यातिरविद्या,48.485,54.780
दृग्दर्शनशक्त्योरेकात्मतेवास्मिता,54.780,61.260
सुखानुशयी,61.260,64.415
रागः,64.415,67.400
दुःखानुशयी,67.400,69.250
द्वेषः,69.250,71.560
स्वरसवाही,71.560,73.895
विदुषोऽपि,73.895,75.120
तथारूढोऽभिनिवेशः,75.120,80.440
ते,80.440,81.060
प्रतिप्रसवहेयाः,81.060,84.365
सूक्ष्माः,84.365,87.800
ध्यानहेयास्तद्वृत्तयः,87.800,92.900
क्लेशमूलः,92.900,95.185
कर्माशयो,95.185,97.225
दृष्टादृष्टजन्मवेदनीयः,97.225,103.620
सति,103.620,104.205
मूले,104.205,105.335
तद्विपाको,105.335,107.085
जात्यायुर्भोगाः,107.085,112.080
ते,112.080,112.690
ह्लादपरितापफलाः,112.690,115.920
पुण्यापुण्यहेतुत्वात्,115.920,121.020
परिणामतापसंस्कारदुःखैर्गुणवृत्तिविरोधाच्च,121.020,126.760
दुःखमेव,126.760,130.635
सर्वं,130.635,131.440
विवेकिनः,131.440,134.100
हेयं,134.100,135.860
दुःखमनागतम्,135.860,139.480
द्रष्टृदृश्ययोः,139.480,141.745
संयोगो,141.745,143.675
हेयहेतुः,143.675,145.860
प्रकाशक्रियास्थितिशीलं,145.860,151.295
भूतेन्द्रियात्मकं,151.295,153.505
भोगापवर्गार्थं,153.505,157.845
दृश्यम्,157.845,158.960
विशेषाविशेषलिङ्गमात्रालिङ्गानि,158.960,165.845
गुणपर्वाणि,165.845,168.700
द्रष्टा,168.700,171.005
दृशिमात्रः,171.005,172.655
शुद्धोऽपि,172.655,174.110
प्रत्ययानुपश्यः,174.110,178.040
तदर्थ,178.040,179.925
एव,179.925,180.415
दृश्यस्यात्मा,180.415,183.920
कृतार्थं,183.920,185.265
प्रति,185.265,186.435
नष्टमप्यनष्टं,186.435,190.035
तदन्यसाधारणत्वात्,190.035,194.960
स्वस्वामिशक्त्योः,194.960,197.840
स्वरूपोपलब्धिहेतुः,197.840,201.320
संयोगः,201.320,203.940
तस्य,203.940,204.575
हेतुरविद्या,204.575,207.640
तदभावात्,207.640,210.235
संयोगाभावो,210.235,213.225
हानं,213.225,214.465
तद्दृशेः,214.465,215.690
कैवल्यम्,215.690,217.620
विवेकख्यातिरविप्लवा,217.620,222.720
हानोपायः,222.720,226.520
तस्य,226.520,227.215
सप्तधा,227.215,229.520
प्रान्तभूमिः,229.520,231.480
प्रज्ञा,231.480,232.160
योगाङ्गानुष्ठानादशुद्धिक्षये,232.160,239.020
ज्ञानदीप्तिरा,239.020,241.350
विवेकख्यातेः,241.350,245.380
यमनियमासनप्राणायामप्रत्याहारधारणाध्यानसमाधयोऽष्टावङ्गानि,245.380,258.320
अहिंसासत्यास्तेयब्रह्मचर्यापरिग्रहा,258.320,265.805
यमाः,265.805,268.320
जातिदेशकालसमयानवच्छिन्नाः,268.320,273.510
सार्वभौमा,273.510,276.380
महाव्रतम्,276.380,277.960
शौचसन्तोषतपःस्वाध्यायेश्वरप्रणिधानानि,277.960,286.240
नियमाः,286.240,287.680
वितर्कबाधने,287.680,291.510
प्रतिपक्षभावनम्,291.510,293.600
वितर्का,293.600,293.895
हिंसादयः,293.895,297.595
कृतकारितानुमोदिता,297.595,303.225
लोभक्रोधमोहपूर्वका,303.225,306.265
मृदुमध्याधिमात्रा,306.265,308.070
दुःखाज्ञानानन्तफला,308.070,313.060
इति,313.060,313.460
प्रतिपक्षभावनम्,313.460,316.820
अहिंसाप्रतिष्ठायां,316.820,321.480
तत्सन्निधौ,321.480,323.140
वैरत्यागः,323.140,325.740
सत्यप्रतिष्ठायां,325.740,331.405
क्रियाफलाश्रयत्वम्,331.405,334.460
अस्तेयप्रतिष्ठायां,334.460,337.845
सर्वरत्नोपस्थानम्,337.845,341.220
ब्रह्मचर्यप्रतिष्ठायां,341.220,346.505
वीर्यलाभः,346.505,348.180
अपरिग्रहस्थैर्ये,348.180,353.415
जन्मकथन्तासम्बोधः,353.415,358.560
शौचात्,358.560,360.025
स्वाङ्गजुगुप्सा,360.025,362.360
परैरसंसर्गः,362.360,367.460
सत्त्वशुद्धिसौमनस्यैकाग्र्येन्द्रियजयात्मदर्शनयोग्यत्वानि,367.460,376.510
च,376.510,378.080
सन्तोषादनुत्तमसुखलाभः,378.080,383.140
कायेन्द्रियसिद्धिरशुद्धिक्षयात्,383.140,388.855
तपसः,388.855,390.900
स्वाध्यायाद्,390.900,393.145
इष्टदेवतासम्प्रयोगः,393.145,397.460
समाधिसिद्धिरीश्वरप्रणिधानात्,397.460,404.340
स्थिरसुखम्,404.340,406.720
आसनम्,406.720,407.820
प्रयत्नशैथिल्यानन्तसमापत्तिभ्याम्,407.820,414.120
ततो,414.120,415.355
द्वन्द्वानभिघातः,415.355,420.160
तस्मिन्सति,420.160,422.395
श्वासप्रश्वासयोर्गतिविच्छेदः,422.395,426.930
प्राणायामः,426.930,429.240
बाह्याभ्यन्तरस्तम्भवृत्तिर्देशकालसङ्ख्याभिः,429.240,441.610
परिदृष्टो,441.610,442.470
दीर्घसूक्ष्मः,442.470,444.160
बाह्याभ्यन्तरविषयाक्षेपी,444.160,449.630
चतुर्थः,449.630,452.400
ततः,452.400,453.115
क्षीयते,453.115,453.975
प्रकाशावरणम्,453.975,458.340
धारणासु,458.340,459.765
च,459.765,459.970
योग्यता,459.970,461.335
मनसः,461.335,463.940
स्वविषयासम्प्रयोगे,463.940,467.875
चित्तस्वरूपानुकार,467.875,471.170
इवेन्द्रियाणां,471.170,472.365
प्रत्याहारः,472.365,476.560
ततः,476.560,477.280
परमा,477.280,478.465
वश्यतेन्द्रियाणाम्,478.465,481.560
इति,481.560,482.790
पातञ्जलयोगदर्शने,482.790,486.390
